{'light': 'green', 'oncoming': None, 'right': None, 'left': None},3,17,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},2,18,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},1,19,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},0,20,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},20,0,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},19,1,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},18,2,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},17,3,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},16,4,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},15,5,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': 'left', 'left': None},14,6,set(['right', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},13,7,set([None, 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},12,8,set(['forward', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},11,9,set(['green', None]),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},10,10,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},9,11,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},8,12,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},7,13,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},6,14,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},5,15,set(['right', 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},4,16,set(['green', 'left']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},3,17,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},2,18,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},1,19,set(['forward', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},0,20,set(['forward', 'green']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},35,0,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},34,1,set(['red', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},33,2,set([None, 'red']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},32,3,set(['right', 'green']),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},31,4,set(['green', None]),False
{'light': 'green', 'oncoming': None, 'right': None, 'left': None},30,5,set(['green', 'left']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},29,6,set(['right', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},28,7,set(['forward', 'red']),False
{'light': 'red', 'oncoming': None, 'right': None, 'left': None},27,8,set([None, 'red']),False
